function,k_factor,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time,mean_adaptive_threshold,n_domain_resets,min_domain_size,max_domain_size
rosenbrock2d,0.5,0,0.3268943715489924,0.3268943715489924,630,2500,2.7972583770751953,0.01039799979995999,0,2500,2500
rosenbrock2d,0.5,1,0.14032331731833408,0.14032331731833408,630,2500,2.6870017051696777,0.01039799979995999,0,2500,2500
rosenbrock2d,0.5,2,0.3268943715489924,0.3268943715489924,630,2500,2.9988110065460205,0.010397999799959992,0,2500,2500
rosenbrock2d,0.5,3,0.3268943715489924,0.3268943715489924,630,2500,2.8068268299102783,0.01039799979995999,0,2500,2500
rosenbrock2d,0.5,4,0.3268943715489924,0.3268943715489924,630,2500,2.938774824142456,0.010397999799959992,0,2500,2500
rosenbrock2d,0.5,5,0.3268943715489924,0.3268943715489924,630,2500,2.856139898300171,0.01039799979995999,0,2500,2500
rosenbrock2d,0.5,6,4.758388190676474,4.758388190676474,630,2500,3.039262533187866,0.010399983679902707,0,2500,2500
rosenbrock2d,0.5,7,0.14032331731833408,0.14032331731833408,630,2500,2.7234294414520264,0.01039799979995999,0,2500,2500
rosenbrock2d,0.5,8,1.2249062890462106,1.2249062890462106,630,2500,3.0552263259887695,0.010397999799959992,0,2500,2500
rosenbrock2d,0.5,9,5.591641584852614,5.591641584852614,630,2500,2.7342686653137207,0.01039799979995999,0,2500,2500
rosenbrock2d,0.7,0,0.3268943715489924,0.3268943715489924,630,2500,2.782914638519287,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,1,0.14032331731833408,0.14032331731833408,630,2500,2.781700849533081,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,2,0.3268943715489924,0.3268943715489924,630,2500,2.9409255981445312,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,3,0.3268943715489924,0.3268943715489924,630,2500,2.755756139755249,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,4,0.3268943715489924,0.3268943715489924,630,2500,2.902458906173706,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,5,0.3268943715489924,0.3268943715489924,630,2500,2.7498586177825928,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,6,4.758388190676474,4.758388190676474,630,2500,3.2057065963745117,0.014399337151863789,0,2500,2500
rosenbrock2d,0.7,7,0.14032331731833408,0.14032331731833408,630,2500,2.7920947074890137,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,8,1.2249062890462106,1.2249062890462106,630,2500,2.6545584201812744,0.014397199719943988,0,2500,2500
rosenbrock2d,0.7,9,5.591641584852614,5.591641584852614,630,2500,2.788707733154297,0.014397199719943988,0,2500,2500
rosenbrock2d,0.9,0,0.3268943715489924,0.3268943715489924,630,2500,2.7677159309387207,0.018396399639927986,0,2500,2500
rosenbrock2d,0.9,1,0.14032331731833408,0.14032331731833408,630,2500,2.613710641860962,0.018396399639927986,0,2500,2500
rosenbrock2d,0.9,2,0.3268943715489924,0.3268943715489924,630,2500,2.9043924808502197,0.01839639963992799,0,2500,2500
rosenbrock2d,0.9,3,0.3268943715489924,0.3268943715489924,630,2500,2.826148748397827,0.018396399639927986,0,2500,2500
rosenbrock2d,0.9,4,0.3268943715489924,0.3268943715489924,630,2500,2.7557365894317627,0.01839639963992799,0,2500,2500
