function,k_samples,p_threshold,epsilon,seed,simple_regret,cumulative_regret,n_evaluations,total_time,best_value,final_domain_size
branin,35,0.4,0.1,114,0.006605697787159026,34934.755080268995,630,9.601476669311523,0.404492697787159,2500
branin,50,0.2,0.1,100,0.23697428159646428,33896.79677987708,630,10.121149778366089,0.6348612815964643,2500
branin,50,0.2,0.1,101,0.006605697787159026,34702.6950191714,630,9.67862319946289,0.404492697787159,2500
branin,50,0.2,0.1,102,0.0972357826887994,36216.42779138351,630,10.881391286849976,0.4951227826887994,2500
branin,50,0.2,0.1,103,0.006605697787159026,35191.58496706664,630,9.307416200637817,0.404492697787159,2500
branin,50,0.2,0.1,104,0.2705594724235717,35418.18430655645,630,9.610283374786377,0.6684464724235717,2500
branin,50,0.2,0.1,105,0.07480380217855298,36905.135269807775,630,8.571968078613281,0.47269080217855297,2500
branin,50,0.2,0.1,106,0.153086403751847,33676.75891143264,630,9.735403299331665,0.550973403751847,2500
branin,50,0.2,0.1,107,0.10339752042404526,34267.06232087778,630,9.968069553375244,0.5012845204240453,2500
branin,50,0.2,0.1,108,0.16005592324075557,36882.48466951639,630,9.518776178359985,0.5579429232407556,2500
branin,50,0.2,0.1,109,0.0972357826887994,34589.87629436359,630,12.51472520828247,0.4951227826887994,2500
branin,50,0.2,0.1,110,0.3474885137832534,33451.519103768485,630,10.590139865875244,0.7453755137832534,2500
branin,50,0.2,0.1,111,0.006605697787159026,35383.52702582714,630,12.694604873657227,0.404492697787159,2500
branin,50,0.2,0.1,112,0.009019962044670815,33103.35611175463,630,9.88332200050354,0.4069069620446708,2500
branin,50,0.2,0.1,113,0.07480380217855298,34956.33011194586,630,9.72982668876648,0.47269080217855297,2500
branin,50,0.2,0.1,114,0.07480380217855298,34933.02502138438,630,9.664689779281616,0.47269080217855297,2500
branin,50,0.3,0.1,100,0.23697428159646428,33896.79677987708,630,9.916597127914429,0.6348612815964643,2500
branin,50,0.3,0.1,101,0.006605697787159026,34702.6950191714,630,9.837090492248535,0.404492697787159,2500
branin,50,0.3,0.1,102,0.0972357826887994,36216.42779138351,630,10.912922620773315,0.4951227826887994,2500
branin,50,0.3,0.1,103,0.006605697787159026,35191.58496706664,630,9.357595205307007,0.404492697787159,2500
